0.000000000000000000e+00,-1.299999999999999940e-03
4.000000000000000000e+00,3.692079207920791362e+00
8.000000000000000000e+00,1.000449999999999839e+01
1.200000000000000000e+01,1.557969999999999722e+01
1.600000000000000000e+01,2.056850000000000023e+01
2.000000000000000000e+01,2.548229999999999507e+01
2.400000000000000000e+01,2.954912087912088836e+01
2.800000000000000000e+01,3.407000000000000028e+01
3.200000000000000000e+01,3.867869999999999919e+01
3.600000000000000000e+01,4.249899999999999523e+01
4.000000000000000000e+01,4.698549999999999471e+01
4.400000000000000000e+01,5.067409999999999570e+01
