0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.989199999999998525e+00
8.000000000000000000e+00,1.256960000000000122e+01
1.200000000000000000e+01,1.940210000000000079e+01
1.600000000000000000e+01,2.633234042553190690e+01
2.000000000000000000e+01,3.339010000000000389e+01
2.400000000000000000e+01,3.893602040816326593e+01
2.800000000000000000e+01,4.482710000000001571e+01
3.200000000000000000e+01,4.988819999999999766e+01
3.600000000000000000e+01,5.837250000000000227e+01
