0.000000000000000000e+00,9.230000000000002092e-02
4.000000000000000000e+00,3.689999999999999503e+00
8.000000000000000000e+00,1.006810000000000116e+01
1.200000000000000000e+01,1.560752475247524806e+01
1.600000000000000000e+01,2.060790000000000077e+01
2.000000000000000000e+01,2.598319999999999652e+01
2.400000000000000000e+01,2.999569999999999226e+01
2.800000000000000000e+01,3.526267326732673268e+01
3.200000000000000000e+01,3.921309999999999718e+01
3.600000000000000000e+01,4.270879999999997523e+01
