   5.293,   5352,    7.620   13.120,      8,   35.007
   5.328,   5387,    7.620   12.990,      8,   35.009
   5.363,   5422,    7.620   12.920,      8,   35.010
   5.398,   5456,    7.620   12.720,      8,   35.005
   5.433,   5492,    7.620   12.590,      8,   35.002
   5.468,   5527,    7.710   12.390,      8,   35.010
   5.503,   5562,    7.620   12.190,      8,   35.002
   5.538,   5598,    7.620   12.130,      8,   35.009
   5.573,   5633,    7.620   12.130,      8,   35.014
   5.608,   5667,    7.620   12.130,      8,   35.039
   5.643,   5703,    7.710   12.190,      8,   35.001
   5.678,   5737,    7.620   12.330,      8,   35.003
   5.713,   5772,    7.620   12.460,      8,   35.002
   5.748,   5808,    7.620   12.590,      8,   35.003
   5.783,   5842,    7.710   12.660,      8,   35.004
   5.818,   5877,    7.620   12.720,      8,   35.064
   5.853,   5913,    7.620   12.720,      8,   35.006
   5.888,   5948,    7.620   12.720,      8,   35.009
   5.923,   5983,    7.620   12.660,      8,   35.011
   5.958,   6019,    7.710   12.660,      8,   35.017
   5.993,   6052,    7.620   12.590,      8,   35.004
   6.028,   6087,    7.620   12.460,      8,   35.004
   6.063,   6123,    7.620   12.390,      8,   35.003
   6.098,   6158,    7.710   12.390,      8,   35.010
   6.133,   6195,    7.710   12.390,      8,   35.009
   6.168,   6227,    7.620   12.390,      8,   35.008
   6.203,   6263,    7.620   12.390,      8,   35.003
   6.238,   6298,    7.620   12.460,      8,   35.001
   6.273,   6335,    7.710   12.460,      8,   35.014
   6.308,   6368,    7.620   12.460,      8,   35.003
   6.343,   6404,    7.620   12.590,      8,   35.005
   6.378,   6438,    7.620   12.590,      8,   35.014
   6.413,   6473,    7.620   12.590,      8,   35.000
   6.448,   6509,    7.710   12.460,      8,   35.002
   6.483,   6544,    7.620   12.460,      8,   35.004
   6.518,   6579,    7.620   12.460,      8,   35.008
   6.553,   6614,    7.620   12.460,      8,   35.003
   6.588,   6649,    7.620   12.460,      8,   35.008
   6.623,   6684,    7.710   12.460,      8,   35.002
   6.658,   6719,    7.620   12.460,      8,   35.008
   6.693,   6754,    7.620   12.460,      8,   35.009
   6.728,   6790,    7.620   12.460,      8,   35.076
   6.763,   6824,    7.710   12.460,      8,   35.001
   6.798,   6858,    7.710   12.460,      8,   35.007
   6.833,   6894,    7.620   12.460,      8,   35.003
   6.868,   6929,    7.620   12.460,      8,   35.001
   6.903,   6965,    7.620   12.460,      8,   35.008
   6.938,   7002,    7.710   12.460,      8,   35.008
   6.973,   7034,    7.620   12.460,      8,   35.007
   7.008,   7069,    7.620   12.460,      8,   35.005
   7.043,   7105,    7.710   12.460,      8,   35.001
   7.078,   7140,    7.620   12.460,      8,   35.000
   7.113,   7175,    7.620   12.460,      8,   35.006
   7.148,   7209,    7.620   12.460,      8,   35.007
   7.183,   7244,    7.620   12.460,      8,   35.010
   7.218,   7280,    7.620   12.460,      8,   35.005
   7.253,   7316,    7.710   12.460,      8,   35.014
   7.288,   7350,    7.620   12.460,      8,   35.004
   7.323,   7386,    7.620   12.460,      8,   35.007
   7.358,   7420,    7.620   12.460,      8,   35.005
   7.393,   7455,    7.620   12.460,      8,   35.010
   7.428,   7491,    7.710   12.460,      8,   35.002
   7.463,   7525,    7.620   12.460,      8,   35.008
   7.498,   7560,    7.620   12.460,      8,   35.001
   7.533,   7596,    7.620   12.460,      8,   35.005
   7.568,   7630,    7.620   12.460,      8,   35.002
   7.603,   7665,    7.620   12.460,      8,   35.015
   7.638,   7701,    7.620   12.460,      8,   35.008
   7.673,   7736,    7.620   12.460,      8,   35.003
   7.708,   7771,    7.620   12.460,      8,   35.011
   7.743,   7806,    7.710   12.460,      8,   35.010
   7.778,   7840,    7.620   12.460,      8,   35.009
   7.813,   7876,    7.620   12.460,      8,   35.001
   7.848,   7911,    7.620   12.460,      8,   35.001
   7.883,   7946,    7.620   12.460,      8,   35.000
   7.918,   7982,    7.620   12.460,      8,   35.001
   7.953,   8016,    7.620   12.460,      8,   35.006
   7.988,   8052,    7.620   12.460,      8,   35.011
   8.023,   8086,    7.620   12.460,      8,   35.001
   8.058,   8122,    7.710   12.460,      8,   35.002
   8.093,   8156,    7.620   12.460,      8,   35.006
   8.128,   8192,    7.710   12.460,      8,   35.002
   8.163,   8226,    7.620   12.460,      8,   35.003
   8.198,   8262,    7.620   12.460,      8,   35.009
   8.233,   8297,    7.710   12.460,      8,   35.000
   8.268,   8331,    7.620   12.460,      8,   35.002
   8.303,   8367,    7.620   12.460,      8,   35.007
   8.338,   8402,    7.620   12.460,      8,   35.012
   8.373,   8437,    7.620   12.460,      8,   35.006
   8.408,   8472,    7.620   12.460,      8,   35.023
   8.443,   8507,    7.620   12.460,      8,   35.004
   8.478,   8542,    7.710   12.460,      8,   35.006
   8.513,   8578,    7.620   12.460,      8,   35.012
   8.548,   8612,    7.710   12.460,      8,   35.010
   8.583,   8647,    7.620   12.460,      8,   35.092
   8.618,   8682,    7.620   12.460,      8,   35.006
   8.654,   8717,    7.620   12.460,      8,   35.004
   8.689,   8753,    7.620   12.460,      8,   35.002
   8.724,   8787,    7.620   12.460,      8,   35.002
   8.759,   8822,    7.710   12.590,      8,   35.009
   8.794,   8857,    7.620   12.590,      8,   35.000
   8.829,   8893,    7.620   12.590,      8,   35.009
   8.864,   8928,    7.710   12.460,      8,   35.010
   8.899,   8963,    7.710   12.460,      8,   35.010
   8.934,   8997,    7.620   12.460,      8,   35.000
   8.969,   9033,    7.620   12.460,      8,   35.006
   9.004,   9068,    7.620   12.460,      8,   35.003
   9.039,   9105,    7.710   12.460,      8,   35.027
   9.074,   9138,    7.620   12.460,      8,   35.011
   9.109,   9172,    7.620   12.460,      8,   35.012
   9.144,   9208,    7.620   12.460,      8,   35.006
   9.179,   9243,    7.620   12.460,      8,   35.007
   9.214,   9278,    7.710   12.460,      8,   35.003
   9.249,   9313,    7.620   12.460,      8,   35.010
   9.284,   9349,    7.620   12.460,      8,   35.001
   9.319,   9383,    7.620   12.460,      8,   35.006
   9.354,   9419,    7.710   12.460,      8,   35.009
   9.389,   9454,    7.710   12.460,      8,   35.015
   9.424,   9489,    7.620   12.460,      8,   35.007
   9.459,   9525,    7.620   12.460,      8,   35.005
   9.494,   9560,    7.620   12.460,      8,   35.012
   9.529,   9594,    7.710   12.460,      8,   35.007
   9.564,   9628,    7.620   12.460,      8,   35.002
   9.599,   9664,    7.620   12.460,      8,   35.010
   9.634,   9699,    7.620   12.460,      8,   35.003
   9.669,   9735,    7.620   12.460,      8,   35.011
   9.704,   9769,    7.620   12.460,      8,   35.003
   9.739,   9804,    7.620   12.460,      8,   35.015
   9.774,   9840,    7.620   12.460,      8,   35.007
   9.809,   9875,    7.620   12.460,      8,   35.005
   9.844,   9910,    7.710   12.460,      8,   35.011
   9.879,   9944,    7.620   12.460,      8,   35.006
   9.914,   9979,    7.620   12.460,      8,   35.007
   9.949,  10014,    7.620   12.460,      8,   35.006
   9.984,  10050,    7.620   12.460,      8,   35.010
  10.019,  10085,    7.710   12.460,      8,   35.001
