   6.519,   6644,    7.620,   -0.070,    0.000,   50.010
   6.569,   6693,    7.620,   -0.070,    0.000,   50.002
   6.621,   6746,    7.620,   -0.070,    0.000,   51.935
   6.671,   6796,    7.620,    0.000,    0.000,   50.006
   6.721,   6846,    7.620,    0.000,    0.000,   50.007
   6.771,   6897,    7.710,    0.000,    0.000,   50.009
   6.821,   6946,    7.620,    0.000,    0.000,   50.002
   6.871,   6996,    7.620,   -0.070,    0.000,   50.007
   6.921,   7047,    7.620,   -0.070,    0.000,   50.005
   6.971,   7097,    7.620,    0.000,    0.000,   50.010
   7.021,   7146,    7.620,    0.000,    0.000,   50.010
   7.073,   7199,    7.620,    0.000,    0.000,   51.666
   7.123,   7248,    7.620,    0.000,    0.000,   50.013
   7.173,   7299,    7.710,    0.000,    0.000,   50.001
   7.225,   7350,    7.620,    0.000,    0.000,   51.844
   7.275,   7401,    7.620,    0.000,    0.000,   50.011
   7.325,   7450,    7.620,    0.000,    0.000,   50.010
   7.375,   7501,    7.620,    0.000,    0.000,   50.419
   7.425,   7552,    7.620,    0.000,    0.000,   50.006
   7.475,   7602,    7.620,    0.000,    0.000,   50.001
   7.525,   7651,    7.620,    0.000,    0.000,   50.012
   7.575,   7702,    7.620,    0.000,    0.000,   50.008
   7.625,   7752,    7.620,    0.000,    0.000,   50.009
   7.681,   7808,    7.620,    0.000,    0.000,   55.494
   7.731,   7857,    7.620,    0.000,    0.000,   50.015
   7.781,   7908,    7.620,    0.000,    0.000,   50.009
   7.831,   7957,    7.620,    0.000,    0.000,   50.003
   7.881,   8007,    7.620,    0.000,    0.000,   50.002
   7.931,   8058,    7.620,    0.000,    0.000,   50.005
   7.981,   8108,    7.620,    0.000,    0.000,   50.022
   8.031,   8159,    7.620,    0.000,    0.000,   50.000
   8.081,   8208,    7.620,    0.000,    0.000,   50.003
   8.131,   8258,    7.620,    0.000,    0.000,   50.004
   8.181,   8308,    7.620,    0.000,    0.000,   50.327
   8.231,   8358,    7.620,    0.000,    0.000,   50.004
   8.281,   8409,    7.620,    0.000,    0.000,   50.003
   8.331,   8459,    7.620,    0.000,    0.000,   50.003
   8.381,   8508,    7.620,   -0.070,    0.000,   50.001
   8.431,   8559,    7.620,   -0.070,    0.000,   50.001
   8.481,   8609,    7.620,   -0.070,    0.000,   50.003
   8.531,   8659,    7.620,   -0.070,    0.000,   50.012
   8.581,   8709,    7.620,    0.000,    0.000,   50.000
   8.631,   8759,    7.620,    0.000,    0.000,   50.002
   8.681,   8810,    7.620,    0.000,    0.000,   50.008
   8.731,   8859,    7.620,    0.000,    0.000,   50.003
   8.781,   8909,    7.620,    0.000,    0.000,   50.009
   8.832,   8960,    7.620,    0.000,    0.000,   50.803
   8.882,   9011,    7.620,    0.000,    0.000,   50.008
   8.932,   9060,    7.620,   -0.070,    0.000,   50.009
   8.982,   9111,    7.620,   -0.070,    0.000,   50.012
   9.032,   9160,    7.620,    0.000,    0.000,   50.002
   9.082,   9210,    7.620,    0.000,    0.000,   50.008
   9.132,   9261,    7.620,    0.000,    0.000,   50.009
   9.182,   9311,    7.620,    0.000,    0.000,   50.008
   9.232,   9360,    7.620,    0.000,    0.000,   50.001
   9.282,   9411,    7.620,    0.000,    0.000,   50.005
   9.332,   9460,    7.620,    0.000,    0.000,   50.010
   9.382,   9511,    7.620,    0.000,    0.000,   50.007
   9.432,   9561,    7.620,    0.000,    0.000,   50.016
   9.482,   9611,    7.620,    0.000,    0.000,   50.007
   9.532,   9662,    7.620,    0.000,    0.000,   50.005
   9.582,   9711,    7.620,    0.000,    0.000,   50.009
   9.632,   9762,    7.620,    0.000,    0.000,   50.006
   9.682,   9811,    7.620,    0.000,    0.000,   50.002
   9.732,   9862,    7.620,    0.000,    0.000,   50.005
   9.782,   9912,    7.620,    0.000,    0.000,   50.001
   9.832,   9962,    7.620,    0.000,    0.000,   50.000
   9.882,  10012,    7.620,    0.000,    0.000,   50.010
   9.932,  10062,    7.620,    0.000,    0.000,   50.003
   9.982,  10112,    7.620,    0.000,    0.000,   50.003
  10.032,  10163,    7.620,    0.000,    0.000,   50.003
  10.082,  10212,    7.620,    0.000,    0.000,   50.003
  10.132,  10263,    7.620,    0.000,    0.000,   50.018
  10.194,  10326,    7.620,    0.000,    0.000,   62.453
  10.255,  10387,    7.620,    0.000,    0.000,   60.479
  10.325,  10458,    7.620,    0.000,    0.000,   69.677
  10.403,  10535,    7.620,    0.000,    0.000,   78.218
  10.459,  10592,    7.620,    0.000,    0.000,   56.472
  10.519,  10651,    7.620,    0.000,    0.000,   59.242
